Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,
NASOQ-Fixed,arma1_arma13,19158,338718,0,0,102,2448,6,0.001,1,1,1e-15,1e-09,1,40,1.44214,34,3.97308e-12,1.53836e-08,-1538.5,1.21132e-11,-1538.5,0,1.1286e-11,
NASOQ-Fixed,arma1_arma10,19158,338718,0,0,123,2952,6,0.001,1,1,1e-15,1e-09,1,19,1.01579,17,8.88178e-16,7.04353e-13,-1552.36,1.13563e-17,-1552.36,0,1.48492e-16,
NASOQ-Fixed,arma1_arma15,19158,338718,0,0,87,2088,6,0.001,1,1,1e-15,1e-09,1,32,1.21999,28,1.35646e-13,4.04598e-08,-1528.78,-7.80597e-14,-1528.78,0,1.12412e-13,
NASOQ-Fixed,arma1_arma4,19158,338718,0,0,186,4464,6,0.001,1,1,1e-15,1e-09,1,34,1.25217,26,2.22045e-15,3.54494e-13,-1578.16,-6.48604e-17,-1578.16,0,9.96897e-17,
NASOQ-Fixed,arma1_arma6,19158,338718,0,0,132,3168,6,0.001,1,1,1e-15,1e-09,1,26,0.92406,22,8.77076e-15,1.09624e-09,-1569.38,-4.10822e-15,-1569.38,0,3.67325e-15,
NASOQ-Fixed,arma1_arma12,19158,338718,0,0,180,4320,6,0.001,1,1,1e-15,1e-09,1,41,1.73126,33,1.59561e-12,1.0778e-08,-1542.27,-6.16427e-12,-1542.27,0,4.5093e-12,
NASOQ-Fixed,arma1_arma8,19158,338718,0,0,87,2088,6,0.001,1,1,1e-15,1e-09,1,22,1.05361,20,3.7122e-14,5.99354e-13,-1559.32,1.87373e-15,-1559.32,1.73472e-18,1.26794e-15,
NASOQ-Fixed,arma1_arma7,19158,338718,0,0,144,3456,6,0.001,1,1,1e-15,1e-09,1,28,1.14369,26,1.63758e-14,2.30447e-09,-1563.42,2.35595e-15,-1563.42,0,3.33823e-15,
NASOQ-Fixed,arma1_arma14,19158,338718,0,0,129,3096,6,0.001,1,1,1e-15,1e-09,1,41,1.50615,35,7.08569e-13,2.86614e-08,-1530.67,-4.47988e-14,-1530.67,0,9.76792e-13,
NASOQ-Fixed,arma1_arma5,19158,338718,0,0,186,4464,6,0.001,1,1,1e-15,1e-09,1,35,1.24621,33,1.25343e-14,4.68764e-13,-1573.35,-7.6892e-16,-1573.35,0,5.93878e-16,
NASOQ-Fixed,arma1_arma2,19158,338718,0,0,156,3744,6,0.001,1,1,1e-15,1e-09,1,28,0.952289,26,2.06363e-14,2.94542e-13,-1588.2,1.07221e-17,-1588.2,0,2.00246e-16,
NASOQ-Fixed,arma1_arma9,19158,338718,0,0,57,1368,6,0.001,1,1,1e-15,1e-09,1,14,0.596618,14,1.7285e-14,1.8336e-09,-1557.02,1.45808e-15,-1557.02,0,1.04276e-15,
NASOQ-Fixed,arma1_arma1,19158,338718,0,0,165,3960,6,0.001,1,1,1e-15,1e-09,1,45,1.68599,35,9.23272e-05,6.09193e-13,-1597.66,5.93732e-16,-1597.66,0,7.00359e-16,
NASOQ-Fixed,arma1_arma0,19158,338718,0,0,156,3744,6,0.001,1,1,1e-15,1e-09,1,56,1.59236,44,3.23214e-14,9.5518e-13,-1613.63,-1.97921e-16,-1613.63,0,3.00015e-16,
NASOQ-Fixed,arma1_arma11,19158,338718,0,0,174,4176,6,0.001,1,1,1e-15,1e-09,1,39,1.5171,31,3.2141e-14,3.73549e-09,-1547,-1.08377e-16,-1547,0,3.02158e-15,
NASOQ-Fixed,arma1_arma3,19158,338718,0,0,138,3312,6,0.001,1,1,1e-15,1e-09,1,24,0.876612,22,6.52256e-16,4.21579e-13,-1583.04,-1.07445e-16,-1583.04,0,2.52891e-16,
NASOQ-Fixed,wolf_falling0,2058,32313,0,0,7,21,6,0.001,1,1,1e-15,1e-09,1,7,0.0400134,7,1.10223e-12,7.45058e-09,-4.02433e+10,2.13957e-08,-4.02433e+10,0,4.35402e-08,
NASOQ-Fixed,wolf_falling3,2058,32313,0,0,41,123,6,0.001,1,1,1e-15,1e-09,1,40,0.13688,40,0.000831133,1.49012e-08,-4.04533e+10,1.89358e-05,-4.04533e+10,0,2.67491e-05,
NASOQ-Fixed,wolf_falling5,2058,32313,0,0,67,201,6,0.001,1,1,1e-15,1e-09,1,67,0.180596,65,9.76984e-10,2.23517e-08,-4.03515e+10,0.000595057,-4.03515e+10,7.27596e-12,0.000103291,
NASOQ-Fixed,wolf_falling1,2058,32313,0,0,15,45,6,0.001,1,1,1e-15,1e-09,1,15,0.0516025,15,1.1069e-10,7.45058e-09,-4.03611e+10,7.67154e-07,-4.03611e+10,0,5.01661e-06,
NASOQ-Fixed,wolf_falling2,2058,32313,0,0,28,84,6,0.001,1,1,1e-15,1e-09,1,28,0.0787669,28,1.27799e-10,7.45058e-09,-4.04293e+10,3.90121e-06,-4.04293e+10,0,7.80786e-06,
NASOQ-Fixed,wolf_falling4,2058,32313,0,0,53,159,6,0.001,1,1,1e-15,1e-09,1,51,0.143078,51,1.74986e-10,7.45058e-09,-4.04421e+10,7.93257e-05,-4.04421e+10,0,2.21059e-05,
