Tool name,Average speedup,Max,Min,SDE,Median,# of slower,# of 2X slower,Tol,Problem type,# of problems,G-Mean
NASOQ,1.232592591831286,6.960182359052456,0.5074121353770678,0.3545960730981968,1.161556894529,94,0,0.001,All,1513,0.42698005011201534
NASOQ-Fixed,1.0,1.0,1.0,0.0,1.0,0,0,0.001,All,1513,0.26189044860208055
NASOQ-TUNED,1.0335765805676413,3.414032949815626,0.0016485955199352,0.18918747304014358,1.0036598116164526,133,17,0.001,All,1513,0.2252854276858014
